time,x,y,z,yaw_deg,vx,vy,speed,cmd_vx,cmd_vy,cmd_wz
1775255859.236,3.1581,0.3591,0.0551,-105.9,-0.000,-0.000,0.000,0.00,0.00,0.00
1775255859.289,3.1581,0.3590,0.0552,-105.9,-0.000,-0.001,0.001,0.00,0.00,0.00
1775255859.343,3.1581,0.3590,0.0553,-105.9,-0.000,-0.001,0.001,0.00,0.00,0.00
1775255859.396,3.1581,0.3588,0.0555,-105.9,-0.001,-0.003,0.003,0.00,0.00,0.00
1775255859.449,3.1581,0.3587,0.0555,-105.9,-0.000,-0.003,0.003,0.00,0.00,0.00
1775255859.503,3.1580,0.3585,0.0553,-105.9,-0.000,-0.004,0.004,0.00,0.00,0.00
1775255859.556,3.1580,0.3583,0.0552,-105.9,-0.000,-0.004,0.004,0.00,0.00,0.00
1775255859.609,3.1580,0.3581,0.0552,-105.9,-0.001,-0.003,0.004,0.00,0.00,0.00
1775255859.663,3.1580,0.3579,0.0552,-105.9,-0.000,-0.003,0.003,0.00,0.00,0.00
1775255859.716,3.1579,0.3577,0.0551,-105.9,-0.000,-0.004,0.004,0.00,0.00,0.00
1775255859.769,3.1579,0.3575,0.0550,-105.9,-0.001,-0.004,0.004,0.00,0.00,0.00
1775255859.823,3.1579,0.3576,0.0551,-105.9,0.001,0.001,0.002,0.00,0.00,0.00
1775255859.876,3.1583,0.3588,0.0583,-105.9,0.007,0.023,0.024,0.00,0.00,0.00
1775255859.929,3.1593,0.3617,0.0652,-105.9,0.018,0.055,0.058,0.00,0.00,0.00
1775255859.983,3.1610,0.3674,0.0772,-105.9,0.033,0.106,0.111,0.00,0.00,0.00
1775255860.036,3.1631,0.3746,0.0948,-105.9,0.038,0.136,0.141,0.00,0.00,0.00
1775255860.089,3.1647,0.3803,0.1159,-106.0,0.030,0.106,0.110,0.00,0.00,0.00
1775255860.143,3.1656,0.3840,0.1408,-106.0,0.018,0.070,0.072,0.00,0.00,0.00
1775255860.196,3.1660,0.3854,0.1659,-106.0,0.006,0.027,0.028,0.00,0.00,0.00
1775255860.249,3.1656,0.3849,0.1900,-106.0,-0.006,-0.011,0.012,0.00,0.00,0.00
1775255860.303,3.1647,0.3823,0.2136,-106.1,-0.017,-0.049,0.052,0.00,0.00,0.00
1775255860.356,3.1635,0.3787,0.2361,-106.1,-0.024,-0.067,0.071,0.00,0.00,0.00
1775255860.409,3.1623,0.3752,0.2571,-106.1,-0.022,-0.065,0.069,0.00,0.00,0.00
1775255860.463,3.1609,0.3712,0.2774,-106.2,-0.025,-0.074,0.078,0.00,0.00,0.00
1775255860.516,3.1592,0.3662,0.2971,-106.3,-0.032,-0.094,0.099,0.00,0.00,0.00
1775255860.569,3.1576,0.3611,0.3111,-106.4,-0.030,-0.096,0.101,0.00,0.00,0.00
1775255860.623,3.1560,0.3549,0.3188,-106.4,-0.031,-0.117,0.121,0.00,0.00,0.00
1775255860.676,3.1545,0.3500,0.3220,-106.4,-0.026,-0.092,0.095,0.00,0.00,0.00
1775255860.737,3.1534,0.3464,0.3239,-106.5,-0.018,-0.059,0.061,0.00,0.00,0.00
1775255860.789,3.1531,0.3455,0.3246,-106.6,-0.007,-0.017,0.019,0.00,0.00,0.00
1775255860.843,3.1533,0.3461,0.3249,-106.6,0.005,0.012,0.013,0.00,0.00,0.00
1775255860.896,3.1538,0.3476,0.3250,-106.6,0.009,0.028,0.029,0.00,0.00,0.00
1775255860.949,3.1542,0.3492,0.3251,-106.5,0.008,0.030,0.031,0.00,0.00,0.00
1775255861.003,3.1546,0.3509,0.3251,-106.6,0.007,0.031,0.032,0.00,0.00,0.00
1775255861.056,3.1548,0.3517,0.3251,-106.6,0.004,0.015,0.015,0.00,0.00,0.00
1775255861.109,3.1548,0.3516,0.3250,-106.5,0.000,-0.000,0.000,0.00,0.00,0.00
1775255861.166,3.1547,0.3512,0.3251,-106.6,-0.002,-0.008,0.008,0.00,0.00,0.00
1775255861.219,3.1546,0.3508,0.3251,-106.6,-0.003,-0.007,0.007,0.00,0.00,0.00
1775255861.276,3.1545,0.3506,0.3251,-106.6,-0.001,-0.004,0.004,0.00,0.00,0.00
1775255861.329,3.1545,0.3506,0.3251,-106.6,0.001,-0.000,0.001,0.00,0.00,0.00
1775255861.383,3.1546,0.3507,0.3251,-106.6,0.001,0.001,0.002,0.00,0.00,0.00
1775255861.436,3.1545,0.3507,0.3251,-106.6,-0.001,0.001,0.001,0.00,0.00,0.00
1775255861.489,3.1545,0.3507,0.3251,-106.6,-0.000,-0.000,0.000,0.00,0.00,0.00
1775255861.542,3.1546,0.3507,0.3251,-106.6,0.001,-0.001,0.002,0.00,0.00,0.00
1775255861.596,3.1546,0.3507,0.3251,-106.6,0.000,-0.000,0.000,0.00,0.00,0.00
1775255861.649,3.1546,0.3507,0.3251,-106.6,-0.001,0.000,0.001,0.00,0.00,0.00
1775255861.703,3.1545,0.3507,0.3251,-106.6,-0.000,-0.000,0.001,0.00,0.00,0.00
1775255861.756,3.1546,0.3507,0.3251,-106.6,0.001,0.000,0.001,0.00,0.00,0.00
1775255861.809,3.1546,0.3506,0.3251,-106.6,0.000,-0.001,0.001,0.00,0.00,0.00
1775255861.862,3.1546,0.3506,0.3251,-106.6,-0.001,0.001,0.001,0.00,0.00,0.00
1775255861.916,3.1545,0.3506,0.3251,-106.6,-0.001,-0.000,0.001,0.00,0.00,0.00
1775255861.969,3.1546,0.3506,0.3251,-106.6,0.001,0.000,0.001,0.00,0.00,0.00
1775255862.022,3.1547,0.3506,0.3251,-106.5,0.002,-0.000,0.002,0.00,0.00,0.00
1775255862.076,3.1546,0.3506,0.3251,-106.6,-0.001,-0.000,0.001,0.00,0.00,0.00
1775255862.129,3.1545,0.3506,0.3251,-106.6,-0.002,0.000,0.002,0.00,0.00,0.00
1775255862.182,3.1546,0.3506,0.3251,-106.6,0.000,-0.000,0.000,0.00,0.00,0.00
1775255862.236,3.1583,0.3568,0.3233,-106.5,0.070,0.117,0.136,0.00,0.00,0.00
